Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Nhà riêng	Lizziehouse Phố Cổ Hà Nội (phố Hàng Giầy)	2 khách · 1 Phòng ngủ · 1 phòng tắm	400,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	SweetHost's SKYLAKE 1BR ⭐city view⭐	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,113,750₫/đêm 1,125,000₫	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư	lake side view apartment	9 khách · 3 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Cầu Giấy, Hà Nội, Vietnam	
Căn hộ chung cư	BOOK NOW! Lovely Apt with Ngoc Khan	2 khách · 1 Phòng ngủ · 1 phòng tắm	595,810₫/đêm	Ba Đình, Hà Nội, Vietnam	1	
Nhà riêng	Harmony | 4 Bunk Beds w/AC | 2mins to Old Quarter - 4BRS/4guests	4 khách · 1 Phòng ngủ · 1 phòng tắm	590,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	2	
Căn hộ dịch vụ	Luxury Apt/2BR/Gym/Bathtub/Lift/Hoan Kiem	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,668,268₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes Metropolis	Vinhomes Metropolis Apartment M3-32F	6 khách · 2 Phòng ngủ · 2 phòng tắm	2,200,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Nhà riêng	A charming, fully equipped & serviced, lakeside house	6 khách · 3 Phòng ngủ · 3 phòng tắm	1,500,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ chung cư	Tuti Thang Long	4 khách · 2 Phòng ngủ · 1 phòng tắm	808,500₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	11	
Căn hộ dịch vụ	Super Clean Family Room || Balcony || Quiet Place - HA 2169	4 khách · 1 Phòng ngủ · 1 phòng tắm	504,000₫/đêm 630,000₫	Cầu Giấy, Hà Nội, Vietnam	
Khác	Westlake /BIG Balcony/Private room/Indochina style	2 khách · 1 Phòng ngủ · 1 phòng tắm	333,654₫/đêm	Tây Hồ, Hà Nội, Vietnam	1	
Căn hộ dịch vụ	Airy Room with Lovely City View	2 khách · 1 Phòng ngủ · 1 phòng tắm	524,313₫/đêm	Cầu Giấy, Hà Nội, Vietnam	
Căn hộ dịch vụ	Bích Câu Gardenia - 1BR | Luxury Homestay	2 khách · 1 Phòng ngủ · 1 phòng tắm	950,000₫/đêm	Đống Đa, Hà Nội, Vietnam	
Căn hộ Studio	La Casa Green	4 khách · 1 Phòng ngủ · 1 phòng tắm	643,475₫/đêm 714,972₫	Ba Đình, Hà Nội, Vietnam	14	
Khác	Embossi Ba Vì - Cả khu	45 khách · 7 Phòng ngủ · 7 phòng tắm	10,000,000₫/đêm	Ba Vì, Hà Nội, Vietnam	1	
Nhà riêng	Êm Ấm homestay 302 - Đẹp, thoáng, view Thung Lũng Hoa	4 khách · 2 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	12	
Căn hộ dịch vụ	Super Cozy Room II Clean II Central Ha Noi - HA 2169	2 khách · 1 Phòng ngủ · 1 phòng tắm	424,000₫/đêm 530,000₫	Cầu Giấy, Hà Nội, Vietnam	
Nhà riêng	Pham's House	6 khách · 3 Phòng ngủ · 2 phòng tắm	1,600,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ dịch vụ · Vinhomes SkyLake	❤[BAYHOMES] VINHOMES SKYLAKE /2BR/ 2mins to KEANGNAM	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	❤[BAYHOMES]VINHOMES SKYLAKE /2BR/2mins to KEANGNAM	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ Studio	SHEEP HOUSE_VINHOMES GREENBAY _ FREE ALL SERVICE	2 khách · 1 Phòng ngủ · 1 phòng tắm	520,000₫/đêm 650,000₫	Nam Từ Liêm, Hà Nội, Vietnam	1	
Căn hộ chung cư · Vinhomes SkyLake	❤[BAYHOMES]VINHOMES SKYLAKE /2BR/2mins to KEANGNAM	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes Metropolis	Vinhomes Metropolis Luxury Apartment 2BDR	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,787,430₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ Studio	Gigi's Apt-2BR-Cozy&Charming-3mins to Sword lake	5 khách · 2 Phòng ngủ · 1 phòng tắm	714,972₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	1	
Căn hộ chung cư · Vinhomes SkyLake	❤[BAYHOMES]VINHOMES SKYLAKE /2BR/2mins to KEANGNAM	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Nhà riêng	Lagom - Hanoi before Hanoi	10 khách · 4 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Đống Đa, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	❤[BAYHOMES]VINHOMES SKYLAKE /2BR/2mins to KEANGNAM	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	❤[BAYHOMES]VINHOMES SKYLAKE /2BR/ NEAR KEANGNAM	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	❤[BAYHOMES]VINHOMES SKYLAKE /2BR/2mins to KEANGNAM	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	❤[BAYHOMES] VINHOMES SKYLAKE /2BR/ 2mins to KEANGNAM	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	❤[BAYHOMES] VINHOMES SKYLAKE /2BR/ NEAR KEANGNAM	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	❤[BAYHOMES] VINHOMES SKYLAKE /2BR/2mins to KEANGNAM	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ dịch vụ · Vinhomes Royal City	❤[BAYHOMES] VINHOMES ROYALCITY /2BR/ LUXURY APT	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Đống Đa, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes Times City	♥️[BAYHOMES] TIMES CITY /HA NOI CENTER/2BR	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,450,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	❤[BAYHOMES] VINHOMES SKYLAKE / 3BR /2mins to KEANGNAM	6 khách · 3 Phòng ngủ · 2 phòng tắm	1,850,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ dịch vụ	Leo2_2BR Apartment_Timecity	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,300,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ chung cư · Chung cư Hoàng Cầu Skyline	OXY HOUSE 2	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,500,000₫/đêm	Đống Đa, Hà Nội, Vietnam	
Căn hộ Studio	Vinhomes Metropolis Residental M2- 27F	5 khách · 2 Phòng ngủ · 2 phòng tắm	2,100,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Biệt Thự	The White House 202 - Lakeside Villa Garden - Hồ Đồng Đò - BBQ - Tiệc Ngoài Trời	4 khách · 1 Phòng ngủ · 1 phòng tắm	799,200₫/đêm 999,000₫	Sóc Sơn, Hà Nội, Vietnam	
Căn hộ dịch vụ · Vinhomes SkyLake	❤[BAYHOMES] VINHOMES SKYLAKE / 2BR / COZY APARTMENT	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ dịch vụ · Imperia Garden	♥️[BAYHOMES] IMPERIA GARDEN /CENTER/2 BR	3 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Thanh Xuân, Hà Nội, Vietnam	
Căn hộ Studio	Shendo studio apartment, Lancaster - 20 Nui Truc, Hà Nội	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,400,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Biệt Thự	BON BON CAFE & HOMESTAY - PHÒNG HOA SỮA	8 khách · 1 Phòng ngủ · 1 phòng tắm	1,700,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ Studio	AimeeHomestay - Phan Bội Châu#3	2 khách · 1 Phòng ngủ · 1 phòng tắm	449,999₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ dịch vụ	Long não House - Home Garden Resort Sóc Sơn	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,200,000₫/đêm	Sóc Sơn, Hà Nội, Vietnam	
Nhà riêng	Travelers! Assemble/ Big Group/ Near Old Quarter	8 khách · 3 Phòng ngủ · 2 phòng tắm	1,800,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes Metropolis	Vinhomes Metropolis Lieu Giai for 02 bedroom	4 khách · 2 Phòng ngủ · 2 phòng tắm	2,100,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư	Clean Room, Central Location in KIM MA THUONG	4 khách · 2 Phòng ngủ · 1 phòng tắm	548,145₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ dịch vụ · Vinhomes Metropolis	♕ Deluxe 3BR Apt ♕ Vinhomes Metropolis/Lotte Tower/Daewoo Hotel ♕	7 khách · 3 Phòng ngủ · 2 phòng tắm	2,600,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes Metropolis	Vinhomes Metropolis for 02 bedroom, nice city view	4 khách · 2 Phòng ngủ · 2 phòng tắm	2,100,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Nhà riêng	Swanlake - View Ho Tay - Floor 2	6 khách · 3 Phòng ngủ · 2 phòng tắm	3,200,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ dịch vụ	HNC Premier Hotel & Residences 4* - Panorama Suite	6 khách · 2 Phòng ngủ · 2 phòng tắm	2,500,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	1	
Căn hộ dịch vụ · Vinhomes Metropolis	♕ Deluxe 2BR Apt ♕ Vinhomes Metropolis ♕Liễu Giai♕ gần Lotte Tower	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,900,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư	OXY HOUSE 1	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,350,000₫/đêm	Đống Đa, Hà Nội, Vietnam	
Căn hộ dịch vụ · Vinhomes Metropolis	Lena House	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,950,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư · TNR Goldmark City	Apartment For Travelers	7 khách · 3 Phòng ngủ · 2 phòng tắm	1,453,777₫/đêm	Bắc Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes Metropolis	RUBY • Vinhomes Metropolis • 1Br • M3-0611	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,750,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes Metropolis	RUBY • Vinhomes Metropolis • 1Br • M3-2104	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,750,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes Metropolis	RUBY • Vinhomes Metropolis • 2Brs • M3-4308	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,950,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư · Hong Kong Tower	HKB1202 · Elegant 2BR-Apt - 5mins to Lotte Center	5 khách · 2 Phòng ngủ · 1 phòng tắm	1,760,000₫/đêm	Cầu Giấy, Hà Nội, Vietnam	
Biệt Thự	BON BON CAFE & HOMESTAY - PHÒNG HOA HƯỚNG DƯƠNG - SUN FLOWER	6 khách · 1 Phòng ngủ · 1 phòng tắm	1,650,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ chung cư	Tấm cuisine and homestay	6 khách · 1 Phòng ngủ · 1 phòng tắm	3,000,000₫/đêm	Long Biên, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	RUBY • VINHOMES SKYLAKE • S1-0705 • 1BR	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,450,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư · Hong Kong Tower	1BR Peaceful Apartment-Lilyhometel-Hongkongtower	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,300,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư · Hong Kong Tower	Peaceful Apartment-Lilyhometel-Hongkongtower#2	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,760,000₫/đêm	Ba Đình, Hà Nội, Vietnam	1	
Căn hộ dịch vụ	Li.A House #03 Metropolis 1BR Business Apartment	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,500,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ dịch vụ	RUBY • Vinhomes Metropolis • 2Brs • M1-3910	4 khách · 2 Phòng ngủ · 2 phòng tắm	2,141,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ dịch vụ	RUBY • Vinhomes Metropolis • 2Brs • M2-0611A	4 khách · 2 Phòng ngủ · 2 phòng tắm	2,141,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ dịch vụ	Adapt apartment Ha Noi 6A	2 khách · 1 Phòng ngủ · 1 phòng tắm	500,480₫/đêm	Tây Hồ, Hà Nội, Vietnam	3	
Căn hộ chung cư	RUBY • Vinhomes Metropolis • 1Br • M3-3404	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,747,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư · Chung cư Lancaster Núi Trúc	LANCASTER CITY LIVING - 2 BEDROOMS APARTMENT	6 khách · 2 Phòng ngủ · 2 phòng tắm	2,000,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư · Imperia Garden	VISTAY3#Căn hộ 3 phòng ngủ, sang trọng, tầng cao, nhìn toàn cảnh thành phố, các phòng tràn ngập ánh sáng tự nhiên	7 khách · 3 Phòng ngủ · 2 phòng tắm	1,789,000₫/đêm	Thanh Xuân, Hà Nội, Vietnam	15	
Căn hộ dịch vụ	Beautiful Apartment | Full Kitchen | Quiet Place - HA 2754	2 khách · 1 Phòng ngủ · 1 phòng tắm	472,000₫/đêm 590,000₫	Hoàn Kiếm, Hà Nội, Vietnam	
Nhà riêng	G Studio - Private hot tub on the terrace – CENTER HANOI (room4)	2 khách · 1 Phòng ngủ · 1 phòng tắm	945,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	1	
Căn hộ Studio	★ Studio in Old Quarter 31, Balcony-Hoan Kiem Lake ★	2 khách · 1 Phòng ngủ · 1 phòng tắm	495,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ Studio	Tribal Vibes Room	2 khách · 1 Phòng ngủ · 1 phòng tắm	2,000,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	1	
Căn hộ chung cư · Chung cư Seasons Avenue	Luxurious Apartment 3BR- 5*- Season Avenue	8 khách · 3 Phòng ngủ · 2 phòng tắm	1,450,000₫/đêm	Hà Đông, Hà Nội, Vietnam	
Căn hộ chung cư · Imperia Garden	VipHome03#Modern Apartment 2BR#Imperia Garden	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,430,000₫/đêm	Thanh Xuân, Hà Nội, Vietnam	
Khác	*OPENING SALE* Luxury 2BR Condo w West Lake view	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,700,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ dịch vụ	ELEGANT APARTMENT AT THUY KHUE STREET	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,599,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ dịch vụ	2 BEDROOMS APARTMENT IN HANOI CENTER	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,682,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ dịch vụ	ELEGANT ROOMS WITH AWESOME LAKEVIEW FOR FAMILY	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,682,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ chung cư	⭐️2BR - METROPOLIS/Hanoi/HighFloor*SkyView*	6 khách · 2 Phòng ngủ · 1 phòng tắm	1,800,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ dịch vụ	3 BEDROOMS APARTMENT FOR FAMILY NEAR WESTLAKE	6 khách · 3 Phòng ngủ · 3 phòng tắm	1,905,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes Times City	❤[BAYHOMES]/ VINHOMES TIMES CITY/1BR/HANOI CENTRE	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,250,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ chung cư	CITY CENTER/Fantastic Home in Hanoi w Amazing BALCONY	6 khách · 2 Phòng ngủ · 1 phòng tắm	520,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	1	
Nhà riêng	NYNA House/5 APARTMENTS/10 BRs/20 PAX++/HKiem Lake	20 khách · 10 Phòng ngủ · 8 phòng tắm	7,000,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	5	
Nhà riêng	Căn hộ phố cổ phong cách hiện đại, ban công đẹp, ấm cúng gần lăng bác, phố cổ - Lý Nam Đế #Fullhouse	8 khách · 4 Phòng ngủ · 4 phòng tắm	1,700,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư	3 BRs for 6 guests/ Luxury apt/ Balcony/ Spacious	6 khách · 3 Phòng ngủ · 3 phòng tắm	1,429,944₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư	Sangria Apartment - 45sqm Old Quarter Center	3 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	10	
Căn hộ chung cư · Chung cư The Link Ciputra	Căn hộ trong mơ - Dreamy Lux Ciputra Apartment	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,529,100₫/đêm 1,699,000₫	Bắc Từ Liêm, Hà Nội, Vietnam	
Nhà riêng	Old Quarter View House - Easternstay - 201	2 khách · 1 Phòng ngủ · 1 phòng tắm	531,000₫/đêm 590,000₫	Hoàn Kiếm, Hà Nội, Vietnam	1	
Căn hộ dịch vụ	⭐The Cranes' Home - Minimalist Luxury Room	2 khách · 1 Phòng ngủ · 1 phòng tắm	599,000₫/đêm	Đống Đa, Hà Nội, Vietnam	
Biệt Thự	Xanh Villas - Executive Pool Villa	6 khách · 3 Phòng ngủ · 4 phòng tắm	9,600,000₫/đêm 12,000,000₫	Thạch Thất, Hà Nội, Vietnam	
Nhà riêng	Nary House - Heart of Ha Noi - ngay cạnh hồ Hoàn Kiếm	4 khách · 2 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	1	
Căn hộ chung cư	LiA House #10 - Skylake 2BRs Elegant Apartment	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Cầu Giấy, Hà Nội, Vietnam	
Căn hộ Studio	SaziHome* Căn hộ Studio hiện đại có ban công - cạnh Lotte Tower Hanoi	2 khách · 1 Phòng ngủ · 1 phòng tắm	612,000₫/đêm 680,000₫	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư	✳Sophie Vinhomes Metropolis✳ELEGANT 2BEDROOM✳LOTTE	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ dịch vụ	ELEGANT THREE BEDROOM DUPLEX APARTMENT - LAKEVIEW	6 khách · 3 Phòng ngủ · 1 phòng tắm	1,599,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	SweetHost's SKYLAKE 4BR SIÊU TO KHỔNG LỒ VIEW BỂ BƠI	8 khách · 4 Phòng ngủ · 3 phòng tắm	2,757,150₫/đêm 2,785,000₫	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư	Best home in town	2 khách · 1 Phòng ngủ · 1 phòng tắm	548,145₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư	Brand New Modern Apt with Nice City View	2 khách · 1 Phòng ngủ · 1 phòng tắm	524,313₫/đêm	Cầu Giấy, Hà Nội, Vietnam	
Căn hộ Studio	Annam HOAN KIEM LAKE SIDE❤️/ENTIRE 2BRS/Nightlife	4 khách · 2 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ Studio	Lane89 Homestay - Rup Studio/ Hanoi Train Street	4 khách · 1 Phòng ngủ · 1 phòng tắm	657,216₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ Studio	Capsun Homestay	3 khách · 1 Phòng ngủ · 1 phòng tắm	380,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ dịch vụ	RUBY • CÁT LINH • GIẢNG VÕ • 03	2 khách · 1 Phòng ngủ · 1 phòng tắm	595,810₫/đêm	Đống Đa, Hà Nội, Vietnam	
Căn hộ Studio	SaziHome* Căn studio lãng mạn, hiện đại tại Văn Cao/gần Lotte	2 khách · 1 Phòng ngủ · 1 phòng tắm	580,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ Studio	Beautiful Liti Flower Design Room - HoLo Fairy House Hanoi	3 khách · 1 Phòng ngủ · 1 phòng tắm	630,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	11	
Khác	Quyet Homestay #1 (Hoian room, stylist deco)	2 khách · 1 Phòng ngủ · 1 phòng tắm	333,654₫/đêm	Ba Đình, Hà Nội, Vietnam	1	
Nhà riêng	Căn Hộ phố Hàng Buồm, trung tâm Hà Nội, 1 bước ra hồ gươm, phố đi bộ #3	2 khách · 1 Phòng ngủ · 1 phòng tắm	380,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư	Nam Phuong Home - Double room with French balcony	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,316,700₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	13	
Nhà riêng	Hommestay-Bach Đang.Hoan Kiem	3 khách · 1 Phòng ngủ · 1 phòng tắm	280,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư · Chung cư Mipec Riverside	Mipec Riverview 2 Bedrooms - Spacious and Cozy	6 khách · 2 Phòng ngủ · 2 phòng tắm	850,000₫/đêm	Long Biên, Hà Nội, Vietnam	1	
Căn hộ chung cư	HIỂN VINH HOMESTAY	4 khách · 1 Phòng ngủ · 1 phòng tắm	420,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Biệt Thự	Autumn Flower Villas	30 khách · 6 Phòng ngủ · 6 phòng tắm	5,400,000₫/đêm 6,000,000₫	Thạch Thất, Hà Nội, Vietnam	1	
Nhà riêng	Skyview Hoàn Kiếm, Rooftop với cửa sổ 10m	2 khách · 1 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	31	
Căn hộ dịch vụ	Eden Romantic 01_Căn Hộ View Hồ Tây	3 khách · 1 Phòng ngủ · 1 phòng tắm	850,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	1	
Căn hộ chung cư	BAWhome - Layla	3 khách · 1 Phòng ngủ · 1 phòng tắm	738,804₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ dịch vụ	⭐The Cranes' Home - Industrial Luxury Room	2 khách · 1 Phòng ngủ · 1 phòng tắm	599,000₫/đêm	Đống Đa, Hà Nội, Vietnam	1	
Căn hộ dịch vụ	The Lullaby Rustic Apt in Hanoi Old Center	4 khách · 1 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Nhà riêng	Spring Truc Bach Homestay	2 khách · 1 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ dịch vụ	BHA Grand Deluxe - R3	2 khách · 1 Phòng ngủ · 1 phòng tắm	750,000₫/đêm	Cầu Giấy, Hà Nội, Vietnam	
Nhà riêng	★Blue Room_Mintea Homestay★ Phố cổ _ 5 Phút đi bộ ra bờ hồ Hoàn Kiếm★	4 khách · 1 Phòng ngủ · 1 phòng tắm	495,000₫/đêm 550,000₫	Hoàn Kiếm, Hà Nội, Vietnam	1	
Căn hộ Studio	★TQN HOME 01★Central Hanoi★Fascinating city view	2 khách · 1 Phòng ngủ · 1 phòng tắm	595,810₫/đêm	Đống Đa, Hà Nội, Vietnam	2	
Căn hộ chung cư	VINHOMES SKYLAKE LUXURY 2 BEDROOM APARTMENT	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,310,782₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ Studio	Charming Room Near Hoan Kiem Lake - Holo Fairy House Hanoi	3 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	11	
Căn hộ dịch vụ	Sweet Apartment | Full kitchen | for Long-Term - HA 2754	2 khách · 1 Phòng ngủ · 1 phòng tắm	472,000₫/đêm 590,000₫	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes Green Bay	[Queen Hotel]-Vinhomes Green Bay_Hà Nội	2 khách · 1 Phòng ngủ · 1 phòng tắm	668,499₫/đêm 786,469₫	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư	CARROT haus	3 khách · 2 Phòng ngủ · 1 phòng tắm	603,200₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	15	
Căn hộ Studio	SaziHome* Căn studio có ban công cực lớn cạnh Nhà Hát Lớn	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,000,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	10	
Căn hộ chung cư · Vinhomes SkyLake	SweetHost's 2BR SKYLAKE ⭐KEANGNAM VIEW⭐	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,470,150₫/đêm 1,485,000₫	Nam Từ Liêm, Hà Nội, Vietnam	
