Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Căn hộ Studio	Hoan Kiem Old Quarter Apartment	6 khách · 1 Phòng ngủ · 1 phòng tắm	599,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	1	
Căn hộ chung cư · Vinhomes SkyLake	♥️[BAYHOMES] SKYLAKE / CENTER / 2BR	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,350,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	1	
Căn hộ dịch vụ	Double room at Old Quarter - Easternstay 703	2 khách · 1 Phòng ngủ · 1 phòng tắm	405,151₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	1	
Căn hộ chung cư · The Golden Palm	Amazing City view modern new apartment	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,350,000₫/đêm	Thanh Xuân, Hà Nội, Vietnam	11	
Căn hộ chung cư · Hong Kong Tower	Beautiful Apartment 2BR-Lilyhometel-Hongkongtower#2	5 khách · 2 Phòng ngủ · 1 phòng tắm	1,500,000₫/đêm	Ba Đình, Hà Nội, Vietnam	10	
Nhà riêng	MICHI HOMESTAY 2 Đối diện Bảo tàng HCM rất gần các địa điểm du lịch và phố cổ	3 khách · 1 Phòng ngủ · 1 phòng tắm	400,000₫/đêm	Ba Đình, Hà Nội, Vietnam	13	
Căn hộ Studio	Pura Vida house	4 khách · 1 Phòng ngủ · 1 phòng tắm	730,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	3	
Căn hộ Studio	La Casa - Sunlight Studio Downtown Hanoi	4 khách · 1 Phòng ngủ · 1 phòng tắm	643,475₫/đêm 714,972₫	Ba Đình, Hà Nội, Vietnam	7	
Căn hộ dịch vụ	Capsule Hanoi Penthouse, view khắp Hà Nội. Gần Lăng Bác cùng các địa điểm du lịch và khu ẩm thực phố cổ Hà Nội.	4 khách · 1 Phòng ngủ · 2 phòng tắm	350,000₫/đêm	Ba Đình, Hà Nội, Vietnam	2	
Căn hộ dịch vụ	⭐The Cranes' Home - Scandinavian Luxury Room	2 khách · 1 Phòng ngủ · 1 phòng tắm	599,000₫/đêm	Đống Đa, Hà Nội, Vietnam	1	
Căn hộ chung cư · Chung cư Mipec Riverside	MIPEC RIVERSIDE SUPERIOR 2BR	7 khách · 2 Phòng ngủ · 2 phòng tắm	953,296₫/đêm	Long Biên, Hà Nội, Vietnam	1	
Căn hộ chung cư · Vinhomes Metropolis	Vinhomes Metropolis Residental M1- 05FL	4 khách · 2 Phòng ngủ · 2 phòng tắm	2,100,000₫/đêm	Ba Đình, Hà Nội, Vietnam	2	
Căn hộ Studio	Monstera House 4: The Temple of Literature 1 bed for 2	2 khách · 1 Phòng ngủ · 1 phòng tắm	750,000₫/đêm	Đống Đa, Hà Nội, Vietnam	2	
Căn hộ chung cư	Nam Phuong Home - Daisy/cozy room near the Church	2 khách · 1 Phòng ngủ · 1 phòng tắm	482,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	9	
Nhà riêng	Rosie Home, không gian của nhà!	4 khách · 1 Phòng ngủ · 1 phòng tắm	499,000₫/đêm	Ba Đình, Hà Nội, Vietnam	3	
Nhà riêng	Hanoi Friendly House - Superior Room 1	2 khách · 1 Phòng ngủ · 1 phòng tắm	346,500₫/đêm	Tây Hồ, Hà Nội, Vietnam	2	
Nhà riêng	Căn Hộ phố Hàng Buồm, trung tâm Hà Nội, 1 bước ra hồ gươm, phố đi bộ #2	2 khách · 1 Phòng ngủ · 1 phòng tắm	350,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	1	
Nhà riêng	⭐JOY Private Entire House ⭐ 300m to Hoan Kiem Lake	4 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	4	
Căn hộ dịch vụ	RedDoorz Superior Double Room || Heart of Ha Noi - HA 2488	2 khách · 1 Phòng ngủ · 1 phòng tắm	352,000₫/đêm 440,000₫	Đống Đa, Hà Nội, Vietnam	1	
Căn hộ Studio	Minimalism Home - Balcony - Easternstay - 201	2 khách · 1 Phòng ngủ · 1 phòng tắm	340,000₫/đêm 400,000₫	Tây Hồ, Hà Nội, Vietnam	1	
Khác	INCOHOME 11.14 - 3br Luxurious Apt* near KEANGNAM	6 khách · 3 Phòng ngủ · 2 phòng tắm	675,000₫/đêm 750,000₫	Cầu Giấy, Hà Nội, Vietnam	2	
Căn hộ chung cư · Vinhomes Metropolis	Vinhomes Metropolis Newbrand - 2BR - SKY VIEW - M1/33F	5 khách · 2 Phòng ngủ · 2 phòng tắm	2,000,000₫/đêm	Ba Đình, Hà Nội, Vietnam	1	
Căn hộ dịch vụ	MIAH BOUTIQUE: New | Central | Nice view 402	2 khách · 1 Phòng ngủ · 1 phòng tắm	599,500₫/đêm 1,090,000₫	Hoàn Kiếm, Hà Nội, Vietnam	1	
Căn hộ Studio	BHome Apartment 603	2 khách · 1 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Ba Đình, Hà Nội, Vietnam	12	
Căn hộ dịch vụ	View Hồ Tây - Homestay: Lux03 Thiên Nga	2 khách · 1 Phòng ngủ · 1 phòng tắm	550,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	3	
Căn hộ Studio	Minimalism Home - Balcony - Easternstay - 402	2 khách · 1 Phòng ngủ · 1 phòng tắm	340,000₫/đêm 400,000₫	Tây Hồ, Hà Nội, Vietnam	1	
Nhà riêng	Hanoi Friendly House - Superior Room	2 khách · 1 Phòng ngủ · 1 phòng tắm	357,486₫/đêm	Tây Hồ, Hà Nội, Vietnam	4	
Nhà riêng	TRULY Antique Hanoi homestay	4 khách · 2 Phòng ngủ · 1 phòng tắm	790,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	3	
Căn hộ chung cư · Imperia Garden	Patel&Sunsight/2BR- APT Imperia Garden POOL&GYM	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,080,000₫/đêm 1,350,000₫	Thanh Xuân, Hà Nội, Vietnam	4	
