alpha	num_top_types	num_top_locations	train_rr	val_rr
0.1	1	1	0.18873263595581202	0.16234840526833594
0.1	1	2	0.3260647999154884	0.3103154884884558
0.1	1	3	0.1985883291430809	0.17093528103936295
0.1	1	4	0.19385081012477945	0.17198359465175994
0.1	1	5	0.1997374759450663	0.18012742585687258
0.1	2	1	0.15949630586793317	0.13916575487061034
0.1	2	2	0.29062257276064274	0.2642560349443839
0.1	2	3	0.2268877332587681	0.2120217760588533
0.1	2	4	0.20003533808750262	0.18026764683699226
0.1	2	5	0.20530797807359902	0.18329597699624578
0.1	3	1	0.22100356780900965	0.19678601389908879
0.1	3	2	0.30356993076528405	0.27473086418888704
0.1	3	3	0.24217893422886738	0.22487714638541345
0.1	3	4	0.21391631149989299	0.19405082872963886
0.1	3	5	0.19942659899066828	0.17750480728023132
0.1	4	1	0.23701643920743565	0.23549323815422663
0.1	4	2	0.22774142575023548	0.222174426719987
0.1	4	3	0.13692712665049045	0.12339713797039153
0.1	4	4	0.15289707369634042	0.1372765806512748
0.1	4	5	0.15937463156487996	0.14858011495112433
0.1	5	1	0.26947777121816474	0.2630880141298393
0.1	5	2	0.19088680798046043	0.1816318888974382
0.1	5	3	0.2768883073559666	0.261700017952477
0.1	5	4	0.17295121423879045	0.15670790913240018
0.1	5	5	0.09547422535033234	0.08274532585191219
1	1	1	0.17554066724550177	0.154910084044367
1	1	2	0.2554742810769203	0.24737936005788252
1	1	3	0.2454381809610232	0.21132148620853686
1	1	4	0.17880773577279463	0.1619865794194103
1	1	5	0.27669765613703	0.24434087392852344
1	2	1	0.21949426352911983	0.1992972125337401
1	2	2	0.3105643770958678	0.3067520540763271
1	2	3	0.3032878804126711	0.28126408043283635
1	2	4	0.2856279624096859	0.26891524108002707
1	2	5	0.2312375097700451	0.20948421044307497
1	3	1	0.1866393345096069	0.17362489662748493
1	3	2	0.2966350930044347	0.2772319668012334
1	3	3	0.25168827708425656	0.23462284421850255
1	3	4	0.14685756582874754	0.12944378249054
1	3	5	0.1651392819975196	0.15495925318297699
1	4	1	0.33235108301384975	0.32215046079419185
1	4	2	0.2721460357646853	0.2554892837104885
1	4	3	0.23531035328060046	0.22424623086344198
1	4	4	0.15232511250841363	0.13860760049335263
1	4	5	0.24332504014979273	0.2354209945436907
1	5	1	0.21130490615846997	0.18923508966227098
1	5	2	0.2513859082240837	0.2442557521327371
1	5	3	0.19513893999276244	0.18810003536575925
1	5	4	0.30196490844055224	0.2928963116827208
1	5	5	0.1294645716463173	0.11028874964088753
10	1	1	0.2789903239495739	0.2510901897749632
10	1	2	0.13582044290490236	0.1288087822843883
10	1	3	0.18259740892582177	0.15698576408456644
10	1	4	0.18021535051447002	0.16570681206874593
10	1	5	0.27752372114701773	0.2587063468882199
10	2	1	0.16544747288210349	0.1448036851884098
10	2	2	0.28113506027597934	0.27230307470176274
10	2	3	0.2787851764065731	0.2634107434178049
10	2	4	0.19142979013284367	0.17542491169000896
10	2	5	0.21801124874680922	0.19435323163783258
10	3	1	0.1501232695950554	0.12620158323470632
10	3	2	0.21588087627927854	0.1974310509378142
10	3	3	0.16334810342702533	0.1474542266396479
10	3	4	0.20780377438173714	0.192774475487957
10	3	5	0.19984649781235164	0.1805496083017093
10	4	1	0.1737709814434295	0.16226141397241978
10	4	2	0.13485622522559337	0.11918940882994089
10	4	3	0.2510596712719624	0.23781967656576875
10	4	4	0.07773315540212677	0.07090922155520285
10	4	5	0.241070267208764	0.22941344718153123
10	5	1	0.25594373803233894	0.25780759622313953
10	5	2	0.23185190138181488	0.2102493680147982
